nom,,adresse,tabelog,url,fb,mails,,tel,budget,,,,,,,,,,
シンシア ブルー,Sincere BLUE）,東京都,https://tabelog.com/tokyo/A1306/A130601/13250541/,,,,,03-6434-0703,"￥5,000～￥5,999 | ￥1,000～￥1,999 | ",,,,,,,,,,
ビストロ・ル・ネコクマヤ,Bistrot Le Nekokumaya）,兵庫県,https://tabelog.com/hyogo/A2801/A280102/28004975/,http://sp.raqmo.com/nekokumaya/,,,,078-341-2825,"￥5,000～￥5,999 | ",,,,,,,,,,
シェ・イノ,Chez Inno）,東京都,https://tabelog.com/tokyo/A1302/A130202/13000510/,http://www.chezinno.jp/,https://www.facebook.com/1451574528482640/posts/1913218148984940/,,,03-3274-2020,"￥8,000～￥9,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
Les Queues,レクゥ ）,福井県,https://tabelog.com/fukui/A1801/A180101/18000520/,,,,,0776-53-4858,"￥5,000～￥5,999 | ",,,,,,,,,,
レ・シャンドール,,京都府,https://tabelog.com/kyoto/A2601/A260202/26001319/,http://www.leschampsdor.jp/index.html,,,,075-255-2277,"￥5,000～￥5,999 | ",,,,,,,,,,
志摩観光ホテル クラシック,,三重県,https://tabelog.com/mie/A2403/A240303/24011598/,,,,,0599-43-1211,"￥10,000～￥14,999 | ",,,,,,,,,,
ラ・カシェット,La Cachette）,奈良県,https://tabelog.com/nara/A2901/A290102/29000035/,,,,,0742-45-2339,"￥5,000～￥5,999 | ",,,,,,,,,,
レストラン ラフィナージュ,,東京都,https://tabelog.com/tokyo/A1301/A130101/13227264/,http://laffinage.jp/,https://www.facebook.com/ginzalaffinage/,,,050-5597-6471,"￥10,000～￥14,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
西欧料理 サヴァカ,,静岡県,https://tabelog.com/shizuoka/A2203/A220303/22001284/,http://cavak.jp/,,,,0537-37-1820,"￥6,000～￥7,999 | ",,,,,,,,,,
レストラン エフア,Restaurant efu a）,長野県,https://tabelog.com/nagano/A2003/A200301/20020393/,,,,,0267-41-0239,"￥6,000～￥7,999 | ",,,,,,,,,,
レ セゾン,,東京都,https://tabelog.com/tokyo/A1301/A130102/13002294/,http://www.imperialhotel.co.jp/j/tokyo/restaurant/les_saisons/index.html,https://www.facebook.com/imperialhoteljapan,,,03-3539-8087,"￥10,000～￥14,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
ラ・フォルム ド エテルニテ,la forme d'eternite）,奈良県,https://tabelog.com/nara/A2901/A290101/29010439/,http://www.restaurant-eternite.com/,,,,0742-20-6933,"￥5,000～￥5,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
シェ・ヒャクタケ,Chez Hyakutake）,神奈川県,https://tabelog.com/kanagawa/A1404/A140406/14003805/,http://syonan-style.com/chez_hyakutake/,,,,0467-88-2043,"￥6,000～￥7,999 | ",,,,,,,,,,
ヴィラージュ・アキヨシ,,奈良県,https://tabelog.com/nara/A2903/A290302/29002054/,https://www.akiyoshi-riche.jp/,,,,0745-53-7517,"￥5,000～￥5,999 | ￥4,000～￥4,999 | ",,,,,,,,,,
ザ・フジヤ,The Fujiya）,神奈川県,https://tabelog.com/kanagawa/A1410/A141001/14002020/,http://www.fujiyahotel.jp/restaurant/thefujiya/,,,,0460-82-2211,"￥10,000～￥14,999 | ",,,,,,,,,,
レストラン ル ボヌール,,東京都,https://tabelog.com/tokyo/A1318/A131810/13039087/,http://www.le-bonheur.biz/,,,,050-5868-4313,"￥5,000～￥5,999 | ",,,,,,,,,,
レストラン　トエダ,,長野県,https://tabelog.com/nagano/A2003/A200301/20014524/,http://toeda-karuizawa.com/,https://www.facebook.com/restauranttoeda,,,0267-45-7038,"￥6,000～￥7,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
マリーン・ルージュ,Marine Rouge）,神奈川県,https://tabelog.com/kanagawa/A1401/A140105/14004507/,http://www.yokohama-cruising.jp/,https://www.facebook.com/yokohama.cruising.jp/,,,045-671-7719,"￥5,000～￥5,999 | ",,,,,,,,,,
ラトラス,L’Atlas）,東京都,https://tabelog.com/tokyo/A1309/A130905/13059639/,http://www.latlas.jp/,,,,03-5228-5933,"￥5,000～￥5,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
ZK,ジーケー）,大阪府,https://tabelog.com/osaka/A2701/A270203/27077440/,https://www.miyakohotels.ne.jp/osaka-m-miyako/restaurant/57/index.html,,,,06-6628-6187,"￥10,000～￥14,999 | ",,,,,,,,,,
フランス料理 ル・クール,La Cuisine Francaise Le Coeur）,千葉県,https://tabelog.com/chiba/A1201/A120101/12030737/,http://www.lecoeur-llc.jp/,,,,043-246-2387,"￥5,000～￥5,999 | ￥3,000～￥3,999 | ",,,,,,,,,,
素透撫,ストーブ）,山梨県,https://tabelog.com/yamanashi/A1902/A190201/19007717/,http://www.stove-kiyoharu.com/,,,,0551-45-7703,"￥8,000～￥9,999 | ",,,,,,,,,,
プルミエ・クリュ,1er cru）,長崎県,https://tabelog.com/nagasaki/A4201/A420101/42000800/,http://www.1ercru.jp/,,,,095-829-1061,"￥10,000～￥14,999 | ",,,,,,,,,,
レストラン ヴィトラ,RESTAURANT VITRA）,京都府,https://tabelog.com/kyoto/A2601/A260503/26001998/,http://www.anges-kyoto.com/,,,,075-706-7676,"￥5,000～￥5,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
マスドラヴァンド,Mas de Lavande）,愛知県,https://tabelog.com/aichi/A2301/A230104/23055994/,http://www.masdelavande.com/,,,,052-325-2587,"￥10,000～￥14,999 | ",,,,,,,,,,
ヌキテパ,,東京都,https://tabelog.com/tokyo/A1316/A131603/13001566/,http://nequittezpas.com/,,,,050-5589-8658,"￥8,000～￥9,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
コート ドール,,東京都,https://tabelog.com/tokyo/A1316/A131602/13001681/,,,,,03-3455-5145,"￥6,000～￥7,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
ete,エテ/?t?）,東京都,https://tabelog.com/tokyo/A1303/A130301/13185038/,,,,,,"￥40,000～￥49,999 | ",,,,,,,,,,
シャテール,chatiere）,東京都,https://tabelog.com/tokyo/A1313/A131303/13008017/,https://chatiere-tokyo.com/,,,,03-3642-8672,"￥8,000～￥9,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
新月,,兵庫県,https://tabelog.com/hyogo/A2801/A280101/28026098/,,,,,078-261-0745,"￥6,000～￥7,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
eclat,エクラ）,東京都,https://tabelog.com/tokyo/A1320/A132001/13175715/,http://french-eclat.com/,https://www.facebook.com/yuji.imai.9,,,0422-27-6171,"￥5,000～￥5,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
銀座 シェ・トモ,GINZA chez tomo）,東京都,https://tabelog.com/tokyo/A1301/A130101/13097935/,http://www.chez-tomo.com/,,,,03-5524-8868,"￥5,000～￥5,999 | ",,,,,,,,,,
TOBEオーベルジュリゾート,トベオーベルジュリゾート）,愛媛県,https://tabelog.com/ehime/A3801/A380103/38007660/,http://www.tobe-resort.com/index.html,,,,089-960-7501,"￥15,000～￥19,999 | ",,,,,,,,,,
薪の音,【旧店名】 むかい野）,富山県,https://tabelog.com/toyama/A1605/A160502/16000678/,http://www.makinooto.co.jp/,,,,0763-62-3255,"￥5,000～￥5,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
土肥亭,ドイテイ）,東京都,https://tabelog.com/tokyo/A1330/A133002/13010350/,http://doitei.com/,,,,0428-31-7667,"￥5,000～￥5,999 | ",,,,,,,,,,
レストラン 代官山小川軒,オガワケン）,東京都,https://tabelog.com/tokyo/A1303/A130303/13001763/,http://daikanyama-ogawaken.com/,,,,03-3463-3809,"￥10,000～￥14,999 | ",,,,,,,,,,
ステーキ懐石都 春日,ミヤコカスガ）,広島県,https://tabelog.com/hiroshima/A3403/A340305/34000084/,http://miyako-kasuga.jp/,,,,084-941-9269,"￥6,000～￥7,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
ピパ・ブルー,PIPPA BLUE）,兵庫県,https://tabelog.com/hyogo/A2801/A280101/28002195/,http://www.kitano-garden.com/,,,,078-241-2411,"￥6,000～￥7,999 | ",,,,,,,,,,
ガストロノミー ジョエル・ロブション,Jo?l Robuchon）,東京都,https://tabelog.com/tokyo/A1303/A130302/13009310/,http://www.robuchon.jp/,,,,03-5424-1347,"￥20,000～￥29,999 | ￥20,000～￥29,999 | ",,,,,,,,,,
CANNA,カンナ）,千葉県,https://tabelog.com/chiba/A1202/A120203/12005663/,http://www.disneyhotels.jp/tdh/japanese/rest/canna.html,,,,0570-05-1118,"￥5,000～￥5,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
ラシェット M,,千葉県,https://tabelog.com/chiba/A1202/A120204/12027859/,http://lassiette-m.com/,https://www.facebook.com/pages/%E3%83%A9%E3%82%B7%E3%82%A7%E3%83%83%E3%83%88-MLassiette-M/384503961665984,,,047-476-6619,"￥5,000～￥5,999 | ",,,,,,,,,,
ゴーシェ,gaucher）,北海道,https://tabelog.com/hokkaido/A0101/A010103/1048816/,,https://www.facebook.com/gaucher38,,,011-206-9348,"￥5,000～￥5,999 | ",,,,,,,,,,
八芳園,,東京都,https://tabelog.com/tokyo/A1316/A131602/13116445/,http://www.happo-en.com/,,,,03-3443-3111,"￥15,000～￥19,999 | ",,,,,,,,,,
ラ ターブル ドゥ ジョエル・ロブション,LA TABLE de Joel Robuchon）,東京都,https://tabelog.com/tokyo/A1303/A130302/13010725/,http://www.robuchon.jp/latable,,,,03-5424-1338,"￥10,000～￥14,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
ラ・メール ザ クラシック,La mer　【旧店名】 ラ・メール）,三重県,https://tabelog.com/mie/A2403/A240303/24000053/,https://www.miyakohotels.ne.jp/shima-classic/restaurant/lamertheclassic/index.html,,,,0599-43-1211,"￥15,000～￥19,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
エルミタージュ ドゥ タムラ,Hermitage de Tamura）,長野県,https://tabelog.com/nagano/A2003/A200301/20000186/,http://www.hermitagedetamura.com/,,,,0267-44-1611,"￥10,000～￥14,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
レストランユニック,restaurant unique）,東京都,https://tabelog.com/tokyo/A1316/A131601/13163184/,http://restaurant-unique.jimdo.com/,,,,03-6451-0570,"￥8,000～￥9,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
レスト　ケイ　ヤマウチ,RESTAU K YAMAUCHI）,愛知県,https://tabelog.com/aichi/A2301/A230102/23052570/,http://french-yamauchi.com/,,,,052-222-6252,"￥6,000～￥7,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
カドー・ドゥ・ラ・メール,Cadeau de la Mer）,兵庫県,https://tabelog.com/hyogo/A2806/A280603/28002385/,http://www.hotelanaga.com/,https://www.facebook.com/HOTELANAGA,,,0799-39-1111,"￥8,000～￥9,999 | ",,,,,,,,,,
ファヌアン,FANUAN）,沖縄県,https://tabelog.com/okinawa/A4702/A470201/47000060/,http://www.terrace.co.jp/busena/restaurants_bars/fanuan.php,https://www.facebook.com/The-Busena-Terrace-%E3%82%B6%E3%83%96%E3%82%BB%E3%83%8A%E3%83%86%E3%83%A9%E3%82%B9-630775157076659/,,,0980-51-1333,"￥10,000～￥14,999 | ",,,,,,,,,,
フルール・ド・セル,Fleur de Sel）,東京都,https://tabelog.com/tokyo/A1317/A131711/13058151/,,,,,03-5701-6355,"￥6,000～￥7,999 | ",,,,,,,,,,
LIEN,リアン）,大阪府,https://tabelog.com/osaka/A2701/A270108/27081567/,,https://www.facebook.com/LIEN20140802/,,,06-6110-5162,"￥8,000～￥9,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
アピシウス,APICIUS）,東京都,https://tabelog.com/tokyo/A1301/A130102/13000145/,http://www.apicius.co.jp/,,,,03-3214-1361,"￥10,000～￥14,999 | ",,,,,,,,,,
環坂,KANSAKA カンサカ）,栃木県,https://tabelog.com/tochigi/A0901/A090101/9001067/,http://www.kansaka.com/,,,,028-600-1819,"￥5,000～￥5,999 | ￥4,000～￥4,999 | ",,,,,,,,,,
クラブ33,club33）,千葉県,https://tabelog.com/chiba/A1202/A120203/12003435/,,,,,非公開,"￥15,000～￥19,999 | ",,,,,,,,,,
Hagiフランス料理店,【旧店名】フランス料理 ベルクール）,福島県,https://tabelog.com/fukushima/A0704/A070401/7008647/,http://www.hagi-france.com/,,,,0246-26-5174,"￥15,000～￥19,999 | ￥20,000～￥29,999 | ",,,,,,,,,,
オリヴィエオドラン,Olivier odorant）,愛知県,https://tabelog.com/aichi/A2301/A230106/23069826/,http://olivier-odorant.com/,,,,052-753-7124,"￥6,000～￥7,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
Le BENKEI,ル・ベンケイ）,奈良県,https://tabelog.com/nara/A2902/A290202/29000147/,http://www.benkei.ne.jp/,https://www.facebook.com/LeBENKEI/,,,0743-53-3588,"￥5,000～￥5,999 | ￥4,000～￥4,999 | ",,,,,,,,,,
ダイアモンドターン,,東京都,https://tabelog.com/tokyo/A1315/A131502/13123328/,http://diamondturn.com/,,,,03-5767-7227,"￥5,000～￥5,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
ラ・トラース,LA TRACE）,奈良県,https://tabelog.com/nara/A2901/A290101/29010031/,http://www.latrace.jp/,,,,0742-33-4000,"￥5,000～￥5,999 | ",,,,,,,,,,
ホテルボストンプラザ草津,,滋賀県,https://tabelog.com/shiga/A2502/A250201/25006370/,,,,,077-561-3311,"￥8,000～￥9,999 | ",,,,,,,,,,
めしあがれ ボナペティ,Bon appetit）,奈良県,https://tabelog.com/nara/A2901/A290101/29000763/,http://www1.kcn.ne.jp/~appetit/,,,,0742-27-5988,"￥6,000～￥7,999 | ",,,,,,,,,,
フランス料理 壺中天,コチュウテン）,愛知県,https://tabelog.com/aichi/A2301/A230104/23000380/,http://kochuten.jp/,,,,052-508-8850,"￥5,000～￥5,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
グリル片山,グリルカタヤマ）,三重県,https://tabelog.com/mie/A2403/A240301/24000469/,http://www.g-katayama.jp/,https://www.facebook.com/grill.katayama/,,,0596-25-1726,"￥10,000～￥14,999 | ",,,,,,,,,,
綱町三井倶楽部,ツナマチミツイクラブ）,東京都,https://tabelog.com/tokyo/A1307/A130702/13014000/,http://www.tsunamachimitsuiclub.co.jp/,,,,03-3453-3011,"￥20,000～￥29,999 | ",,,,,,,,,,
オーベルジュ ド ぷれざんす 桜井,L'Auberge DE PLAISANCE 桜井）,奈良県,https://tabelog.com/nara/A2903/A290302/29009551/,http://www.hiramatsuhotels.com/plaisance-sakurai/,https://www.facebook.com/hiramatsuhotels.plaisance.sakurai,,,0744-49-0880,"￥5,000～￥5,999 | ￥30,000～￥39,999 | ",,,,,,,,,,
白馬リゾートホテル ラ ネージュ東館,,長野県,https://tabelog.com/nagano/A2005/A200503/20007406/,http://www.laneige-higashikan.com/,,,,0261-72-7111,"￥20,000～￥29,999 | ",,,,,,,,,,
スクレ･サレ,,東京都,https://tabelog.com/tokyo/A1304/A130402/13208004/,,https://www.facebook.com/sucresale1998/,,,03-6457-8664,"￥10,000～￥14,999 | ",,,,,,,,,,
エヴァンタイユ,Eventail）,京都府,https://tabelog.com/kyoto/A2601/A260502/26001770/,http://www.eventail.jp/,https://www.facebook.com/eventail.kyoto,,,075-712-0750,"￥5,000～￥5,999 | ",,,,,,,,,,
フレンチポリネシアン・ブッフェネシア,Nesia）,福島県,https://tabelog.com/fukushima/A0704/A070401/7009205/,http://monolith-tower.jp/restaurant.html,,,,0246-43-3191,"￥15,000～￥19,999 | ",,,,,,,,,,
ブルーバイユー・レストラン,BlueBayou）,千葉県,https://tabelog.com/chiba/A1202/A120203/12000691/,http://www.tokyodisneyresort.jp/restaurant/detail/str_id:BBY/,,,,0570-05-1118,"￥5,000～￥5,999 | ",,,,,,,,,,
エスキス,ESqUISSE）,東京都,https://tabelog.com/tokyo/A1301/A130101/13142530/,http://www.esquissetokyo.com/,,,,03-5537-5580,"￥15,000～￥19,999 | ￥20,000～￥29,999 | ",,,,,,,,,,
Restaurant MiYa－Vie,レストランミヤヴィ）,北海道,https://tabelog.com/hokkaido/A0101/A010105/1057629/,http://www.miya-vie.jp/,,,,011-688-9788,"￥6,000～￥7,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
コンヴィヴィアリテ・イチノセ,Convivialite Ichinose）,群馬県,https://tabelog.com/gunma/A1002/A100203/10010657/,http://www.convivialite-ichinose.com/profile.html,https://ja-jp.facebook.com/Convivialite.Ichinose,,,0276-49-5784,"￥5,000～￥5,999 | ",,,,,,,,,,
北島亭,キタジマテイ）,東京都,https://tabelog.com/tokyo/A1309/A130902/13000945/,,,,,03-3355-6667,"￥15,000～￥19,999 | ",,,,,,,,,,
シェ ヨコイ,Chez Yokoi）,香川県,https://tabelog.com/kagawa/A3702/A370202/37001086/,,,,,0877-32-8166,"￥6,000～￥7,999 | ",,,,,,,,,,
ベルクール,Restaurant Bellecoure）,岩手県,https://tabelog.com/iwate/A0301/A030101/3000145/,http://www.bellecour-m.com/,,,,019-651-9061,"￥6,000～￥7,999 | ",,,,,,,,,,
ル ムロン デ オワゾ,le mouron des oiseaux）,青森県,https://tabelog.com/aomori/A0203/A020301/2008411/,,,,,0178-51-8727,"￥6,000～￥7,999 | ",,,,,,,,,,
ボルドー,,京都府,https://tabelog.com/kyoto/A2601/A260503/26001226/,http://www.kyoto-bordeaux.com/,,,,050-5868-1677,"￥6,000～￥7,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
パパゲーノ,,神奈川県,https://tabelog.com/kanagawa/A1406/A140602/14001238/,,,,,0467-22-1356,"￥5,000～￥5,999 | ",,,,,,,,,,
ベルナール,,石川県,https://tabelog.com/ishikawa/A1701/A170101/17004605/,https://bernard-2009425.amebaownd.com/,,,,076-225-8682,"￥8,000～￥9,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
ボア・ド・ブローニュ,,東京都,https://tabelog.com/tokyo/A1301/A130102/13002153/,http://matsumotoro.co.jp/,,,,03-3503-1612,"￥8,000～￥9,999 | ",,,,,,,,,,
ブレストンコート ユカワタン,,長野県,https://tabelog.com/nagano/A2003/A200301/20014528/,http://restaurant.blestoncourt.com/,,,,0267-46-6200,"￥15,000～￥19,999 | ",,,,,,,,,,
レストラン マサヒロ・ニシムラ,Restaurant Masahiro Nishimura【旧店名】ラートドゥラサヴール）,長野県,https://tabelog.com/nagano/A2005/A200501/20001167/,http://www.art-saveur.com/,,,,0263-81-5275,"￥8,000～￥9,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
カランドリエ,CALENDRIER）,大阪府,https://tabelog.com/osaka/A2701/A270106/27000095/,http://www.calendrier1997.com/,,,,06-6252-5010,"￥5,000～￥5,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
Miura料理店,ミウラ）,山梨県,https://tabelog.com/yamanashi/A1903/A190303/19005053/,http://miuraryouriten.com/,,,,0555-73-2918,"￥6,000～￥7,999 | ￥3,000～￥3,999 | ",,,,,,,,,,
コムシコムサ,comme ci comme ca）,京都府,https://tabelog.com/kyoto/A2601/A260301/26001089/,http://comme-ci-comme-ca.net/,,,,075-771-0296,"￥5,000～￥5,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
ザ・サーティース レストラン,The 30th Restaurant）,東京都,https://tabelog.com/tokyo/A1317/A131708/13185143/,http://www.futako-e.tokyuhotels.co.jp/ja/restaurant/30th/index.html,,,,050-5597-6434,"￥5,000～￥5,999 | ￥1,000～￥1,999 | ",,,,,,,,,,
ラ・ロシェル 山王,,東京都,https://tabelog.com/tokyo/A1308/A130802/13119101/,http://www.la-rochelle-san.com/,https://www.facebook.com/%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%83%A9%E3%83%AD%E3%82%B7%E3%82%A7%E3%83%AB%E5%B1%B1%E7%8E%8B%E5%BA%97-381361358557511/,,,03-3500-1031,"￥5,000～￥5,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
ル・ジャンティオム,Le Gentilhomme）,北海道,https://tabelog.com/hokkaido/A0101/A010103/1000009/,http://www.le-gentilhomme.com/,,,,011-531-2251,"￥8,000～￥9,999 | ",,,,,,,,,,
ル・プランタン,,愛知県,https://tabelog.com/aichi/A2301/A230112/23000075/,http://www.leprintemps.jp/,,,,052-876-3288,"￥5,000～￥5,999 | ",,,,,,,,,,
RESTAURANT hidamarino,レストランヒダマリーノ）,京都府,https://tabelog.com/kyoto/A2601/A260101/26026551/,http://www.hidamarino.com/,,,,075-365-5085,"￥5,000～￥5,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
kiki harajuku,キキ ハラジュク）,東京都,https://tabelog.com/tokyo/A1306/A130601/13130035/,http://kikioishii.com/,,,,070-3882-3150,"￥8,000～￥9,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
ル スプートニク,le sputnik）,東京都,https://tabelog.com/tokyo/A1307/A130701/13184105/,https://le-sputnik.jp/,,,,03-6434-7080,"￥10,000～￥14,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
レストラン ラ・フロレゾン・ドゥ・タケウチ,La Floraison de TAKEUCHI）,愛知県,https://tabelog.com/aichi/A2301/A230102/23048448/,http://www.lafloraison-t.jp/,,,,052-218-6738,"￥6,000～￥7,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
レストラン ル・ブラン,RESTAURANT Le Blanc）,長野県,https://tabelog.com/nagano/A2002/A200201/20000964/,http://www.leblanc.bz/,https://www.facebook.com/pages/%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%83%AB%E3%83%96%E3%83%A9%E3%83%B3/601929616615386,,,0263-34-5534,"￥5,000～￥5,999 | ",,,,,,,,,,
ボニュ,Bon.nu）,東京都,https://tabelog.com/tokyo/A1304/A130401/13184186/,http://www.bon-nu.jp/,,,,080-7811-3570,"￥30,000～￥39,999 | ￥30,000～￥39,999 | ",,,,,,,,,,
6,six、シス）,沖縄県,https://tabelog.com/okinawa/A4702/A470202/47022252/,https://six-kouri.com/,,,,0980-56-3733,"￥10,000～￥14,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
ロテル　デュ　ラク,L’Hotel　du Lac）,滋賀県,https://tabelog.com/shiga/A2505/A250501/25003677/,http://du-lac.com/,,,,0749-89-1888,"￥5,000～￥5,999 | ￥20,000～￥29,999 | ",,,,,,,,,,
フレンチレストラン ミクニ サッポロ,,北海道,https://tabelog.com/hokkaido/A0101/A010101/1000044/,http://www.jrhotels.co.jp/tower/restaurant/mikuni/menu.php,https://www.facebook.com/JR-tower-hotel-nikko-sapporo-130794446971981/,,,050-5457-3133,"￥5,000～￥5,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
コンヴィヴィアリテ,Convivialite）,大阪府,https://tabelog.com/osaka/A2701/A270201/27004550/,http://www.convivialite.info/,https://www.facebook.com/%E3%82%B3%E3%83%B3%E3%83%B4%E3%82%A3%E3%83%B4%E3%82%A3%E3%82%A2%E3%83%AA%E3%83%86-1163434513750853,,,06-6532-4880,"￥10,000～￥14,999 | ",,,,,,,,,,
フレンチレストラン オトヌ,島津重富荘）,鹿児島県,https://tabelog.com/kagoshima/A4601/A460101/46001038/,http://www.s-shigetomisoh.biz/restaurant/,https://www.facebook.com/manorhouse.shimadushigetomisoh/,,,099-247-3122,"￥5,000～￥5,999 | ￥15,000～￥19,999 | ",,,,,,,,,,
新門前 米村,,京都府,https://tabelog.com/kyoto/A2601/A260301/26032575/,https://r-yonemura.jp/,,,,075-533-6699,"￥10,000～￥14,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
ランファン・キ・レーヴ,L’enfant qui reve ）,北海道,https://tabelog.com/hokkaido/A0101/A010202/1000675/,http://www.lenfant-qui-reve.com/,,,,011-791-3255,"￥6,000～￥7,999 | ",,,,,,,,,,
長崎 ペリニィヨン,Perignon）,長崎県,https://tabelog.com/nagasaki/A4201/A420101/42000747/,http://www.perignon.co.jp/,,,,095-820-0230,"￥6,000～￥7,999 | ",,,,,,,,,,
ウラノ,URANO）,東京都,https://tabelog.com/tokyo/A1309/A130904/13232449/,http://urano.world/,,,,03-6272-6111,"￥6,000～￥7,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
プルミエプチ,,東京都,https://tabelog.com/tokyo/A1310/A131002/13166166/,,,,,050-5375-8947,"￥5,000～￥5,999 | ￥1,000～￥1,999 | ",,,,,,,,,,
ジャマン,,大阪府,https://tabelog.com/osaka/A2706/A270604/27001152/,http://www.jamin.jp/,,,,072-631-0007,"￥5,000～￥5,999 | ",,,,,,,,,,
無彩庵　池田,ムサイアン）,長野県,https://tabelog.com/nagano/A2003/A200301/20000196/,http://www.musaian.com/,,,,0267-44-3930,"￥6,000～￥7,999 | ",,,,,,,,,,
ポミエ,,青森県,https://tabelog.com/aomori/A0201/A020101/2000420/,,,,,017-735-7057,"￥8,000～￥9,999 | ",,,,,,,,,,
クロマニヨン,,福岡県,https://tabelog.com/fukuoka/A4001/A400105/40031751/,http://www.wine-cro.jp/,,,,092-406-7487,"￥10,000～￥14,999 | ￥10,000～￥14,999 | ",,,,,,,,,,
Blueberry Fields 紀伊國屋,ブルーベリーフィールズ キノクニヤ）,滋賀県,https://tabelog.com/shiga/A2501/A250101/25000025/,http://www.bbfkinokuniya.com/,https://www.facebook.com/bbfkinokuniya,,,077-598-2623,"￥5,000～￥5,999 | ",,,,,,,,,,
エサンス,ESSENCE）,東京都,https://tabelog.com/tokyo/A1320/A132002/13120718/,http://essence-naito.com/,,,,0422-26-9164,"￥5,000～￥5,999 | ",,,,,,,,,,
仏蘭西舎 すいぎょく,,東京都,https://tabelog.com/tokyo/A1322/A132201/13183405/,https://www.suigyoku.com/,,,,03-3963-7611,"￥5,000～￥5,999 | ￥5,000～￥5,999 | ",,,,,,,,,,
ドメイヌ ドゥ ミクニ,,長野県,https://tabelog.com/nagano/A2003/A200301/20001558/,http://domaine-de-mikuni.com/,,,,0267-46-3924,"￥6,000～￥7,999 | ￥6,000～￥7,999 | ",,,,,,,,,,
フレンチダイニング トップ オブ キョウト,,京都府,https://tabelog.com/kyoto/A2601/A260101/26000987/,http://www.rihga.co.jp/kyoto/,http://www.facebook.com/share.php,,,075-361-9221,"￥5,000～￥5,999 | ￥4,000～￥4,999 | ",,,,,,,,,,
ル フェドラ,,兵庫県,https://tabelog.com/hyogo/A2801/A280101/28000553/,http://lefedora-kobe.com/,http://www.facebook.com/lefedora.page,,,078-252-8337,"￥5,000～￥5,999 | ",,,,,,,,,,
シンフォニー東京湾クルーズ,シンフォニートウキョウワンクルーズ）,東京都,https://tabelog.com/tokyo/A1314/A131401/13018588/,http://www.symphony-cruise.co.jp/,https://www.facebook.com/symphony.cruise,,,03-3798-8101,"￥6,000～￥7,999 | ",,,,,,,,,,
レストランディファランス,Restaurant Difference）,大阪府,https://tabelog.com/osaka/A2701/A270102/27074095/,http://difference.upper.jp/,,,,06-6479-1140,"￥6,000～￥7,999 | ",,,,,,,,,,
ル ビストロ,,兵庫県,https://tabelog.com/hyogo/A2801/A280102/28000552/,http://lebistrot-kobe.jimdo.com/,,,,078-393-0758,"￥6,000～￥7,999 | ￥20,000～￥29,999 | ",,,,,,,,,,
パリサンク,PARIS CINQ）,宮崎県,https://tabelog.com/miyazaki/A4501/A450101/45000031/,http://www.paris-cinq.com/,,,,0985-29-8039,"￥5,000～￥5,999 | ",,,,,,,,,,
ルコック,Le Coq）,東京都,https://tabelog.com/tokyo/A1303/A130302/13091772/,http://www.lecoq.co.jp/,,,,03-3770-1915,"￥6,000～￥7,999 | ",,,,,,,,,,
